dataset,setting,ai_kind,policy_kind,human_kind,n_test,budget,spent_cost,avg_subset_size,pct_human_used,ai_only_accuracy,ai_only_dp_diff,ai_only_eo_diff,ai_only_eopp_diff,ai_only_te_diff,ai_only_subgroup_fairness,ai_only_individual_fairness,final_accuracy,final_demographic_parity_diff,final_equalized_odds_diff,final_equal_opportunity_diff,final_treatment_equality_diff,final_subgroup_fairness,final_individual_fairness,wall_seconds
cifar10h,e_placo_fairAI_explicit,fair,placo,explicit_biased,3000,27000.0,22693.527652397843,7.776666666666666,100.0,0.7203333333333334,0.0418420753214244,0.2003478285840433,0.1960666294147556,0.3027748210062171,0.3217626147105024,0.8857333333333336,0.8376666666666667,0.0512608089657526,0.2184751180517292,0.1858181615642927,0.6329231195339654,0.2495396238293853,0.6875999999999937,141.27997970581055
cifar10h,f_placo_fairAI_automation,fair,placo,automation_biased,3000,27000.0,22259.51435398329,7.700666666666667,100.0,0.7203333333333334,0.0418420753214244,0.2003478285840433,0.1960666294147556,0.3027748210062171,0.3217626147105024,0.8857333333333336,0.7213333333333334,0.0411771817044032,0.2033020383329355,0.197275819257561,0.3101549283038396,0.3232893322677543,0.8854666666666674,147.5101079940796
cifar10h,g_FAIRPLACO_fairAI_unbiased,fair,fair_placo,unbiased,3000,27000.0,22622.98573949958,7.717666666666666,99.96666666666668,0.7203333333333334,0.0418420753214244,0.2003478285840433,0.1960666294147556,0.3027748210062171,0.3217626147105024,0.8857333333333336,0.963,0.0966726874502218,0.0280988409385325,0.0280988409385325,0.2273389425443125,0.0699520983026138,0.6576666666666606,167.80652904510498
cifar10h,h_FAIRPLACO_fairAI_explicit,fair,fair_placo,explicit_biased,3000,27000.0,22677.38627636777,7.758666666666667,99.96666666666668,0.7203333333333334,0.0418420753214244,0.2003478285840433,0.1960666294147556,0.3027748210062171,0.3217626147105024,0.8857333333333336,0.8376666666666667,0.0512643645465923,0.2172600512230536,0.1846089717214875,0.646526606827527,0.2495396238293853,0.6876666666666608,150.4962568283081
cifar10h,i_FAIRPLACO_fairAI_automation,fair,fair_placo,automation_biased,3000,27000.0,22733.67375911774,7.882666666666666,99.96666666666668,0.7203333333333334,0.0418420753214244,0.2003478285840433,0.1960666294147556,0.3027748210062171,0.3217626147105024,0.8857333333333336,0.7206666666666667,0.0411736261235634,0.2030400002871649,0.197275819257561,0.3057456707328584,0.3232893322677543,0.885400000000001,162.21640515327454
cifar10h,j_FAIRPLACO_basicAI_unbiased,basic,fair_placo,unbiased,3000,27000.0,22630.999686940548,7.724,99.96666666666668,0.7233333333333334,0.1453948116964387,0.302322614724806,0.302322614724806,0.307296516225044,0.4398785983629174,0.8953333333333338,0.962,0.1026816190692911,0.0313473033988476,0.0313473033988476,0.0715471512920481,0.0647974591273561,0.6603999999999944,199.58637523651123
cifar10h,k_FAIRPLACO_basicAI_explicit,basic,fair_placo,explicit_biased,3000,27000.0,22659.223772212943,7.748,99.96666666666668,0.7233333333333334,0.1453948116964387,0.302322614724806,0.302322614724806,0.307296516225044,0.4398785983629174,0.8953333333333338,0.8383333333333334,0.0886726305609285,0.2143266537422898,0.2143266537422898,0.2328899508235566,0.2562273217613023,0.6827333333333285,187.55615520477295
cifar10h,l_FAIRPLACO_basicAI_automation,basic,fair_placo,automation_biased,3000,27000.0,22691.37056618756,7.857333333333333,99.9,0.7233333333333334,0.1453948116964387,0.302322614724806,0.302322614724806,0.307296516225044,0.4398785983629174,0.8953333333333338,0.7236666666666667,0.1447263624985778,0.3008367306237659,0.3008367306237659,0.3040338705902277,0.438947037066184,0.8949333333333334,145.96356177330017
compas,a_placo_basicAI_unbiased,basic,placo,unbiased,3312,29808.0,25013.194454465847,7.73792270531401,100.0,0.6929347826086957,0.11550766575100646,0.16883662831199409,0.06793493245106152,0.44926773076655735,0.22567627028482484,0.9346618357487932,0.9631642512077294,0.08435199006343608,0.020534563245173637,0.002508960573476715,0.0012763243596047857,0.020019439660317495,0.6508454106280126,225.81281113624573
compas,b_placo_basicAI_explicit,basic,placo,explicit_biased,3312,29808.0,25058.254463057656,7.772041062801932,100.0,0.6929347826086957,0.1155076657510064,0.168836628311994,0.0679349324510615,0.4492677307665573,0.2256762702848248,0.9346618357487932,0.8345410628019324,0.0910978020486827,0.0503722084367245,0.0503722084367245,0.2360541993514679,0.1290691131081288,0.690519323671493,165.12624621391296
